sim_time,vehicle_id,tls_id,lane_id,eta,speed,priority_granted,phase_index,note
162.05,bus1,122830043,156415834#9_0,58.91,0.65,no,N/A,ETA too high (58.9s)
162.1,bus2,N/A,405356966_1,N/A,9.17,no,N/A,No TLS ahead
162.1,bus1,122830043,156415834#9_0,55.09,0.69,no,N/A,ETA too high (55.1s)
162.15,bus2,N/A,405356966_1,N/A,9.23,no,N/A,No TLS ahead
162.15,bus1,122830043,156415834#9_0,50.92,0.75,no,N/A,ETA too high (50.9s)
162.2,bus2,N/A,405356966_1,N/A,9.26,no,N/A,No TLS ahead
162.2,bus1,122830043,156415834#9_0,48.46,0.78,no,N/A,ETA too high (48.5s)
162.25,bus2,N/A,405356966_1,N/A,9.29,no,N/A,No TLS ahead
162.25,bus1,122830043,156415834#9_0,45.62,0.83,no,N/A,ETA too high (45.6s)
162.3,bus2,N/A,405356966_1,N/A,9.34,no,N/A,No TLS ahead
162.3,bus1,122830043,156415834#9_0,43.53,0.87,no,N/A,ETA too high (43.5s)
162.35,bus2,N/A,405356966_1,N/A,9.4,no,N/A,No TLS ahead
162.35,bus1,122830043,156415834#9_0,41.22,0.92,no,N/A,ETA too high (41.2s)
162.4,bus2,N/A,405356966_1,N/A,9.44,no,N/A,No TLS ahead
162.4,bus1,122830043,156415834#9_0,38.78,0.98,no,N/A,ETA too high (38.8s)
162.45,bus2,N/A,405356966_1,N/A,9.48,no,N/A,No TLS ahead
162.45,bus1,122830043,156415834#9_0,37.21,1.02,no,N/A,ETA too high (37.2s)
162.5,bus2,N/A,405356966_1,N/A,9.52,no,N/A,No TLS ahead
162.5,bus1,122830043,156415834#9_0,35.15,1.07,no,N/A,ETA too high (35.1s)
162.55,bus2,N/A,405356966_1,N/A,9.57,no,N/A,No TLS ahead
162.55,bus1,122830043,156415834#9_0,33.76,1.12,no,N/A,ETA too high (33.8s)
162.6,bus2,N/A,405356966_1,N/A,9.63,no,N/A,No TLS ahead
162.6,bus1,122830043,156415834#9_0,32.53,1.16,no,N/A,ETA too high (32.5s)
162.65,bus2,N/A,405356966_1,N/A,9.68,no,N/A,No TLS ahead
162.65,bus1,122830043,156415834#9_0,31.38,1.2,no,N/A,ETA too high (31.4s)
162.7,bus2,N/A,405356966_1,N/A,9.72,no,N/A,No TLS ahead
162.7,bus1,122830043,156415834#9_0,30.08,1.25,no,N/A,ETA too high (30.1s)
162.75,bus2,N/A,405356966_1,N/A,9.76,no,N/A,No TLS ahead
162.75,bus1,122830043,156415834#9_0,29.3,1.28,no,N/A,ETA too high (29.3s)
162.8,bus2,N/A,405356966_1,N/A,9.8,no,N/A,No TLS ahead
162.8,bus1,122830043,156415834#9_0,28.08,1.33,no,N/A,ETA too high (28.1s)
162.85,bus2,N/A,405356966_1,N/A,9.84,no,N/A,No TLS ahead
162.85,bus1,122830043,156415834#9_0,27.24,1.37,no,N/A,ETA too high (27.2s)
162.9,bus2,N/A,405356966_1,N/A,9.87,no,N/A,No TLS ahead
162.9,bus1,122830043,156415834#9_0,26.35,1.41,no,N/A,ETA too high (26.3s)
162.95,bus2,N/A,405356966_1,N/A,9.93,no,N/A,No TLS ahead
162.95,bus1,122830043,156415834#9_0,25.57,1.45,no,N/A,ETA too high (25.6s)
163.0,bus2,N/A,405356966_1,N/A,9.97,no,N/A,No TLS ahead
163.0,bus1,122830043,156415834#9_0,24.98,1.48,no,N/A,ETA too high (25.0s)
163.05,bus2,N/A,405356966_1,N/A,10.01,no,N/A,No TLS ahead
163.05,bus1,122830043,156415834#9_0,24.1,1.54,no,N/A,ETA too high (24.1s)
163.1,bus2,N/A,405356966_1,N/A,10.04,no,N/A,No TLS ahead
163.1,bus1,122830043,156415834#9_0,23.44,1.58,no,N/A,ETA too high (23.4s)
163.15,bus2,N/A,405356966_1,N/A,10.1,no,N/A,No TLS ahead
163.15,bus1,122830043,156415834#9_0,22.65,1.63,no,N/A,ETA too high (22.7s)
163.2,bus2,N/A,405356966_1,N/A,10.15,no,N/A,No TLS ahead
163.2,bus1,122830043,156415834#9_0,21.94,1.68,no,N/A,ETA too high (21.9s)
163.25,bus2,N/A,405356966_1,N/A,10.19,no,N/A,No TLS ahead
163.25,bus1,122830043,156415834#9_0,21.41,1.71,no,N/A,ETA too high (21.4s)
163.3,bus2,N/A,405356966_1,N/A,10.24,no,N/A,No TLS ahead
163.3,bus1,122830043,156415834#9_0,20.75,1.76,no,N/A,ETA too high (20.8s)
163.35,bus2,N/A,405356966_1,N/A,10.27,no,N/A,No TLS ahead
163.35,bus1,122830043,156415834#9_0,20.35,1.79,no,N/A,ETA too high (20.3s)
163.4,bus2,N/A,405356966_1,N/A,10.31,no,N/A,No TLS ahead
163.4,bus1,122830043,156415834#9_0,19.7,1.85,no,N/A,ETA too high (19.7s)
163.45,bus2,N/A,405356966_1,N/A,10.34,no,N/A,No TLS ahead
163.45,bus1,122830043,156415834#9_0,19.18,1.89,no,N/A,ETA too high (19.2s)
163.5,bus2,N/A,405356966_1,N/A,10.38,no,N/A,No TLS ahead
163.5,bus1,122830043,156415834#9_0,18.69,1.94,no,N/A,ETA too high (18.7s)
163.55,bus2,N/A,405356966_1,N/A,10.42,no,N/A,No TLS ahead
163.55,bus1,122830043,156415834#9_0,18.17,1.99,no,N/A,ETA too high (18.2s)
163.6,bus2,N/A,405356966_1,N/A,10.47,no,N/A,No TLS ahead
163.6,bus1,122830043,156415834#9_0,17.68,2.04,no,N/A,ETA too high (17.7s)
163.65,bus2,N/A,405356966_1,N/A,10.52,no,N/A,No TLS ahead
163.65,bus1,122830043,156415834#9_0,17.34,2.07,no,N/A,ETA too high (17.3s)
163.7,bus2,N/A,405356966_1,N/A,10.57,no,N/A,No TLS ahead
163.7,bus1,122830043,156415834#9_0,16.85,2.12,no,N/A,ETA too high (16.9s)
163.75,bus2,N/A,405356966_1,N/A,10.62,no,N/A,No TLS ahead
163.75,bus1,122830043,156415834#9_0,16.51,2.16,no,N/A,ETA too high (16.5s)
163.8,bus2,N/A,405356966_1,N/A,10.68,no,N/A,No TLS ahead
163.8,bus1,122830043,156415834#9_0,16.07,2.21,no,N/A,ETA too high (16.1s)
163.85,bus2,N/A,405356966_1,N/A,10.72,no,N/A,No TLS ahead
163.85,bus1,122830043,156415834#9_0,15.79,2.25,no,N/A,ETA too high (15.8s)
163.9,bus2,N/A,405356966_1,N/A,10.77,no,N/A,No TLS ahead
163.9,bus1,122830043,156415834#9_0,15.33,2.31,no,N/A,ETA too high (15.3s)
163.95,bus2,N/A,405356966_1,N/A,10.82,no,N/A,No TLS ahead
163.95,bus1,122830043,156415834#9_0,14.97,2.35,no,N/A,ETA too high (15.0s)
164.0,bus2,N/A,405356966_1,N/A,10.86,no,N/A,No TLS ahead
164.0,bus1,122830043,156415834#9_0,14.55,2.41,no,N/A,ETA too high (14.6s)
164.05,bus2,N/A,405356966_1,N/A,10.91,no,N/A,No TLS ahead
164.05,bus1,122830043,156415834#9_0,14.24,2.46,no,N/A,ETA too high (14.2s)
164.1,bus2,N/A,:4075599808_0_1,N/A,10.97,no,N/A,No TLS ahead
164.1,bus1,122830043,156415834#9_0,13.87,2.51,no,N/A,ETA too high (13.9s)
164.15,bus2,N/A,:4075599808_0_1,N/A,11.01,no,N/A,No TLS ahead
164.15,bus1,122830043,156415834#9_0,13.52,2.57,no,N/A,ETA too high (13.5s)
164.2,bus2,N/A,:4075599808_0_1,N/A,11.05,no,N/A,No TLS ahead
164.2,bus1,122830043,156415834#9_0,13.24,2.62,no,N/A,ETA too high (13.2s)
164.25,bus2,N/A,:4075599808_0_1,N/A,11.1,no,N/A,No TLS ahead
164.25,bus1,122830043,156415834#9_0,12.99,2.66,no,N/A,ETA too high (13.0s)
164.3,bus2,N/A,:4075599808_0_1,N/A,11.13,no,N/A,No TLS ahead
164.3,bus1,122830043,156415834#9_0,12.73,2.7,no,N/A,ETA too high (12.7s)
164.35,bus2,N/A,:4075599808_0_1,N/A,11.17,no,N/A,No TLS ahead
164.35,bus1,122830043,156415834#9_0,12.51,2.74,no,N/A,ETA too high (12.5s)
164.4,bus2,N/A,:4075599808_0_1,N/A,11.22,no,N/A,No TLS ahead
164.4,bus1,122830043,156415834#9_0,12.3,2.77,no,N/A,ETA too high (12.3s)
164.45,bus2,N/A,:4075599808_0_1,N/A,11.26,no,N/A,No TLS ahead
164.45,bus1,122830043,156415834#9_0,12.12,2.8,no,N/A,ETA too high (12.1s)
164.5,bus2,N/A,:4075599808_0_1,N/A,11.32,no,N/A,No TLS ahead
164.5,bus1,122830043,156415834#9_0,11.89,2.84,no,N/A,ETA too high (11.9s)
164.55,bus2,N/A,:4075599808_0_1,N/A,11.35,no,N/A,No TLS ahead
164.55,bus1,122830043,156415834#9_0,11.64,2.89,no,N/A,ETA too high (11.6s)
164.6,bus2,N/A,:4075599808_0_1,N/A,11.41,no,N/A,No TLS ahead
164.6,bus1,122830043,156415834#9_0,11.47,2.92,no,N/A,ETA too high (11.5s)
164.65,bus2,N/A,:4075599808_0_1,N/A,11.46,no,N/A,No TLS ahead
164.65,bus1,122830043,156415834#9_0,11.26,2.96,no,N/A,ETA too high (11.3s)
164.7,bus2,N/A,:4075599808_0_1,N/A,11.52,no,N/A,No TLS ahead
164.7,bus1,122830043,156415834#9_0,11.01,3.01,no,N/A,ETA too high (11.0s)
164.75,bus2,N/A,:4075599808_0_1,N/A,11.55,no,N/A,No TLS ahead
164.75,bus1,122830043,156415834#9_0,10.78,3.06,no,N/A,ETA too high (10.8s)
164.8,bus2,N/A,:4075599808_0_1,N/A,11.59,no,N/A,No TLS ahead
164.8,bus1,122830043,156415834#9_0,10.58,3.11,no,N/A,ETA too high (10.6s)
164.85,bus2,N/A,405356995_1,N/A,11.62,no,N/A,No TLS ahead
164.85,bus1,122830043,156415834#9_0,10.36,3.16,no,N/A,ETA too high (10.4s)
164.9,bus2,N/A,405356995_1,N/A,11.67,no,N/A,No TLS ahead
164.9,bus1,122830043,156415834#9_0,10.13,3.22,no,N/A,ETA too high (10.1s)
164.95,bus2,N/A,405356995_1,N/A,11.71,no,N/A,No TLS ahead
164.95,bus1,122830043,156415834#9_0,9.9,3.27,no,N/A,ETA too high (9.9s)
165.0,bus2,N/A,405356995_1,N/A,11.76,no,N/A,No TLS ahead
165.0,bus1,122830043,156415834#9_0,9.74,3.31,no,N/A,ETA too high (9.7s)
165.05,bus2,N/A,405356995_1,N/A,11.81,no,N/A,No TLS ahead
165.05,bus1,122830043,156415834#9_0,9.54,3.36,no,N/A,ETA too high (9.5s)
165.1,bus2,N/A,405356995_1,N/A,11.85,no,N/A,No TLS ahead
165.1,bus1,122830043,156415834#9_0,9.35,3.41,no,N/A,ETA too high (9.3s)
165.15,bus2,N/A,405356995_1,N/A,11.9,no,N/A,No TLS ahead
165.15,bus1,122830043,156415834#9_0,9.18,3.46,no,N/A,ETA too high (9.2s)
165.2,bus2,N/A,405356995_1,N/A,11.94,no,N/A,No TLS ahead
165.2,bus1,122830043,156415834#9_0,9.03,3.49,no,N/A,ETA too high (9.0s)
165.25,bus2,N/A,405356995_1,N/A,12.0,no,N/A,No TLS ahead
165.25,bus1,122830043,156415834#9_0,8.85,3.54,no,N/A,ETA too high (8.9s)
165.3,bus2,N/A,405356995_1,N/A,12.05,no,N/A,No TLS ahead
165.3,bus1,122830043,156415834#9_0,8.7,3.59,no,N/A,ETA too high (8.7s)
165.35,bus2,N/A,405356995_1,N/A,12.1,no,N/A,No TLS ahead
165.35,bus1,122830043,156415834#9_0,8.55,3.63,no,N/A,ETA too high (8.5s)
165.4,bus2,N/A,405356995_1,N/A,12.14,no,N/A,No TLS ahead
165.4,bus1,122830043,156415834#9_0,8.42,3.66,no,N/A,ETA too high (8.4s)
165.45,bus2,N/A,405356995_1,N/A,12.18,no,N/A,No TLS ahead
165.45,bus1,122830043,156415834#9_0,8.26,3.71,no,N/A,ETA too high (8.3s)
165.5,bus2,N/A,405356995_1,N/A,12.24,no,N/A,No TLS ahead
165.5,bus1,122830043,156415834#9_0,8.09,3.76,no,N/A,ETA too high (8.1s)
165.55,bus2,N/A,405356995_1,N/A,12.28,no,N/A,No TLS ahead
165.55,bus1,122830043,156415834#9_0,7.97,3.8,no,N/A,ETA too high (8.0s)
165.6,bus2,N/A,405356995_1,N/A,12.34,no,N/A,No TLS ahead
165.6,bus1,122830043,156415834#9_0,7.82,3.85,no,N/A,ETA too high (7.8s)
165.65,bus2,N/A,405356995_1,N/A,12.38,no,N/A,No TLS ahead
165.65,bus1,122830043,156415834#9_0,7.65,3.91,no,N/A,ETA too high (7.7s)
165.7,bus2,N/A,405356995_1,N/A,12.41,no,N/A,No TLS ahead
