sim_time,vehicle_id,vehicle_type,tls_id,lane_id,position_marker,actual_position,speed
86,f_0.15,DEFAULT_VEHTYPE,N/A,1064346357_2,start,0.49,29.113424688571474
86,f_1.4,DEFAULT_VEHTYPE,N/A,406215598_1,start,0.46,29.648736593324475
87,f_0.15,DEFAULT_VEHTYPE,N/A,:2761920351_0_1,end,7.82,29.634208493627018
87,f_0.17,DEFAULT_VEHTYPE,N/A,271237812#0_1,end,115.57,19.36040505964775
87,f_0.6,DEFAULT_VEHTYPE,N/A,:4083175944_0_2,start,0.63,22.74337990164681
87,f_1.14,DEFAULT_VEHTYPE,N/A,:4083175937_2_3,middle,4.06,12.756678515478926
87,f_1.2,DEFAULT_VEHTYPE,N/A,:268162723_0_0,middle,3.89,23.36017046105854
88,f_0.4,DEFAULT_VEHTYPE,N/A,406215666_1,start,0.78,22.407158277093814
89,f_0.13,DEFAULT_VEHTYPE,N/A,:4083186355_0_1,end,7.47,23.23840398830035
89,f_0.6,DEFAULT_VEHTYPE,N/A,406215685_2,middle,40.74,24.6672888305594
89,f_1.10,DEFAULT_VEHTYPE,N/A,406215608_0,start,0.16,28.160309154116856
89,f_1.15,DEFAULT_VEHTYPE,N/A,:4085646489_3_2,end,7.73,12.453201830903454
90,f_0.2,DEFAULT_VEHTYPE,N/A,406215636_0,start,0.89,27.92495643151829
90,f_1.10,DEFAULT_VEHTYPE,N/A,:268162713_0_1,start,0.46,30.383619831614507
90,f_2.3,DEFAULT_VEHTYPE,N/A,:cluster_7059565448_7059565449_7464757604_939854561_1_0,start,0.91,1.9077964532189071
90,f_2.4,DEFAULT_VEHTYPE,N/A,:cluster_7059565448_7059565449_7464757604_939854561_1_1,start,0.97,1.9673520678188652
90,t_0,bus,N/A,405546351_2,start,0.22,13.088905140655115
91,f_0.16,DEFAULT_VEHTYPE,N/A,1064346357_2,start,0.41,23.53772121915535
91,f_1.14,DEFAULT_VEHTYPE,N/A,:268162728_10_0,middle,13.65,8.717738566739573
91,f_1.9,DEFAULT_VEHTYPE,N/A,406215675_2,middle,129.74,29.87777510788609
91,f_2.1,DEFAULT_VEHTYPE,N/A,192503244#0_1,middle,68.89,10.695363934828938
92,f_1.11,DEFAULT_VEHTYPE,N/A,406215608_0,end,2.88,27.038275776679868
93,f_1.11,DEFAULT_VEHTYPE,N/A,406215604_3,end,17.15,27.19080971464725
93,f_1.14,DEFAULT_VEHTYPE,N/A,:268162728_10_0,end,25.8,4.206781959034015
93,f_2.0,DEFAULT_VEHTYPE,N/A,:268161537_0_2,end,6.7,12.907206088031955
93,f_2.2,DEFAULT_VEHTYPE,N/A,:4077284468_0_2,start,0.32,11.610796802019639
93,f_2.3,DEFAULT_VEHTYPE,N/A,:cluster_7059565448_7059565449_7464757604_939854561_1_0,middle,18.93,8.214174859737977
93,f_2.6,DEFAULT_VEHTYPE,N/A,:cluster_7059565448_7059565449_7464757604_939854561_1_1,start,0.62,4.385563216218256
93,f_2.8,DEFAULT_VEHTYPE,N/A,755844260#0_1,middle,13.16,2.2899305761602116
94,f_1.15,DEFAULT_VEHTYPE,N/A,406215639#0_3,middle,6.18,8.923840617015243
94,f_2.11,DEFAULT_VEHTYPE,N/A,:7059565437_0_0,middle,4.03,0.848788109023214
94,f_2.12,DEFAULT_VEHTYPE,N/A,:7059565437_0_1,middle,3.79,0.6048590963320016
95,f_0.3,DEFAULT_VEHTYPE,N/A,:4083175942_0_0,start,0.95,23.727057787841154
95,f_1.4,DEFAULT_VEHTYPE,N/A,406215613#0_1,start,0.21,21.58002025904123
95,f_2.7,DEFAULT_VEHTYPE,N/A,:cluster_7059565448_7059565449_7464757604_939854561_1_0,start,0.0,6.592252297461432
96,f_1.12,DEFAULT_VEHTYPE,N/A,1029507042_3,end,18.92,29.34464111655777
96,f_2.10,DEFAULT_VEHTYPE,N/A,755844260#0_1,middle,12.86,4.747278450520275
96,f_2.12,DEFAULT_VEHTYPE,N/A,:7059565437_0_1,end,7.87,2.468993851483468
97,f_0.20,DEFAULT_VEHTYPE,N/A,271237812#0_1,middle,58.24,12.969111337116919
97,f_1.12,DEFAULT_VEHTYPE,N/A,406215604_3,middle,8.36,31.494404525233563
97,f_1.16,DEFAULT_VEHTYPE,N/A,:6483341599_3_2,end,5.43,11.318935408450605
97,f_2.0,DEFAULT_VEHTYPE,N/A,:268161538_0_2,start,0.33,19.543550654284985
97,f_2.14,DEFAULT_VEHTYPE,N/A,755844274_1,end,224.72,1.558026273789923
97,f_2.9,DEFAULT_VEHTYPE,N/A,755844260#0_0,end,25.16,8.122865372809514
98,f_1.2,DEFAULT_VEHTYPE,N/A,:4083175947_0_1,end,7.59,19.65305942396278
99,f_0.1,DEFAULT_VEHTYPE,N/A,:4083175938_0_3,middle,4.15,16.77550678528694
99,f_0.2,DEFAULT_VEHTYPE,N/A,406215616_1,end,159.4,22.964676988092883
99,f_1.15,DEFAULT_VEHTYPE,N/A,:268162728_10_0,end,26.35,4.678698988727843
99,f_1.17,DEFAULT_VEHTYPE,N/A,:6483341599_3_2,end,5.77,11.320338190204806
99,f_2.1,DEFAULT_VEHTYPE,N/A,405546351_2,middle,8.61,10.87747953266561
99,f_2.11,DEFAULT_VEHTYPE,N/A,:cluster_7059565448_7059565449_7464757604_939854561_1_0,start,0.03,10.036197979950938
99,f_2.8,DEFAULT_VEHTYPE,N/A,:cluster_7059565448_7059565449_7464757604_939854561_1_1,end,37.71,12.248313951371468
100,f_0.18,DEFAULT_VEHTYPE,N/A,:2761920351_0_1,end,7.82,27.10617374829604
100,f_1.21,DEFAULT_VEHTYPE,N/A,:36750787_2_0,middle,4.18,8.589321663440206
100,f_2.17,DEFAULT_VEHTYPE,N/A,755844274_1,end,224.57,4.9700494569402
101,f_0.2,DEFAULT_VEHTYPE,N/A,:4083175938_0_3,middle,3.63,14.65398727207565
101,f_1.16,DEFAULT_VEHTYPE,N/A,:4083175937_2_3,middle,3.88,10.836748038588963
101,f_1.18,DEFAULT_VEHTYPE,N/A,406215650_1,end,198.07,12.999376142188572
101,f_1.22,DEFAULT_VEHTYPE,N/A,406215655_0,middle,12.18,4.684903943771497
101,f_2.10,DEFAULT_VEHTYPE,N/A,:cluster_7059565448_7059565449_7464757604_939854561_1_1,end,37.64,12.565933299885767
102,f_0.16,DEFAULT_VEHTYPE,N/A,:4083186355_0_1,end,7.86,19.789789152327465
102,f_1.18,DEFAULT_VEHTYPE,N/A,:6483341599_3_2,middle,3.23,13.018105788576081
102,f_2.2,DEFAULT_VEHTYPE,N/A,:6369939969_0_1,start,0.34,18.1507207039041
103,f_0.16,DEFAULT_VEHTYPE,N/A,406216725#0_1,start,0.6,15.289789152327465
103,f_0.2,DEFAULT_VEHTYPE,N/A,406215634#0_3,middle,16.13,9.89102063254858
103,f_1.17,DEFAULT_VEHTYPE,N/A,:4083175937_2_3,middle,4.19,9.814365194802
103,f_1.22,DEFAULT_VEHTYPE,N/A,:36750787_2_0,middle,4.44,9.519451634422875
103,f_2.18,DEFAULT_VEHTYPE,N/A,:7059565437_0_1,middle,4.58,11.319052758466826
104,f_0.0,DEFAULT_VEHTYPE,N/A,:268162729_3_0,end,29.9,3.9703085932795297
104,f_1.11,DEFAULT_VEHTYPE,N/A,406215647_2,end,20.73,27.234571921841482
104,f_2.16,DEFAULT_VEHTYPE,N/A,755844260#0_0,middle,13.09,10.257965654108189
105,f_0.1,DEFAULT_VEHTYPE,N/A,:268162729_3_0,middle,14.71,8.962054422685023
105,f_1.14,DEFAULT_VEHTYPE,N/A,:9491550176_0_3,start,0.46,27.734845087573383
105,f_2.15,DEFAULT_VEHTYPE,N/A,:cluster_7059565448_7059565449_7464757604_939854561_1_0,middle,19.27,10.983717445177883
105,f_2.17,DEFAULT_VEHTYPE,N/A,:cluster_7059565448_7059565449_7464757604_939854561_1_1,middle,19.33,13.69337864320581
106,f_0.18,DEFAULT_VEHTYPE,N/A,406216735_1,middle,56.01,27.19831223802763
107,f_0.3,DEFAULT_VEHTYPE,N/A,406215621_2,middle,10.98,22.478298452975967
107,f_1.17,DEFAULT_VEHTYPE,N/A,:268162728_10_0,middle,13.63,8.104933439757366
107,f_1.4,DEFAULT_VEHTYPE,N/A,:cluster_268162697_2761920568_4_0,end,13.72,7.069371582361359
107,f_2.19,DEFAULT_VEHTYPE,N/A,:7059565437_0_0,middle,4.51,12.49244303166855
108,f_0.0,DEFAULT_VEHTYPE,N/A,-406215639#2_0,middle,6.12,11.18876475788731
108,f_0.11,DEFAULT_VEHTYPE,N/A,:cluster_268162697_2761920568_1_1,start,0.88,5.131669500153619
108,f_0.3,DEFAULT_VEHTYPE,N/A,406215634#0_3,start,0.89,19.097074969149933
108,f_0.4,DEFAULT_VEHTYPE,N/A,406215621_2,start,0.41,22.142710973793985
108,f_1.19,DEFAULT_VEHTYPE,N/A,690987758_2,start,0.57,13.410165159620554
109,f_0.0,DEFAULT_VEHTYPE,N/A,:4083175937_0_0,end,7.06,12.551706977575867
109,f_0.11,DEFAULT_VEHTYPE,N/A,:cluster_268162697_2761920568_1_1,middle,7.5,6.627535420130114
109,f_0.18,DEFAULT_VEHTYPE,N/A,406216729_1,start,0.3,17.40433808084783
109,f_1.17,DEFAULT_VEHTYPE,N/A,:268162728_10_0,end,26.26,4.229459760496702
110,f_0.13,DEFAULT_VEHTYPE,N/A,:cluster_268162697_2761920568_1_0,start,0.71,6.672363219299808
110,f_1.18,DEFAULT_VEHTYPE,N/A,:268162728_10_0,middle,13.43,7.846351291816997
110,f_1.20,DEFAULT_VEHTYPE,N/A,:6483341599_3_2,middle,2.6,14.743256794376217
110,f_2.20,DEFAULT_VEHTYPE,N/A,:7059565437_0_1,start,0.94,13.089778437512436
110,f_2.22,DEFAULT_VEHTYPE,N/A,755844274_1,middle,112.7,13.506138344070502
111,f_0.12,DEFAULT_VEHTYPE,N/A,:cluster_268162697_2761920568_1_1,middle,7.41,9.051503530665256
111,f_0.16,DEFAULT_VEHTYPE,N/A,406216725#0_2,middle,25.88,3.4561530013484294
