sim_time,vehicle_id,tls_id,lane_id,eta,speed,priority_granted,phase_index,note
5.0,t163-b2736-sl4.0,N/A,59712267#0_0,N/A,0.0,no,N/A,No TLS ahead
5.05,t1B3-b2739-sl4.0,GS_cluster_444570416_7059565461,755844281#0_0,13.17,3.02,no,N/A,ETA too high (13.2s)
5.05,t163-b2736-sl4.0,N/A,59712267#0_0,N/A,0.0,no,N/A,No TLS ahead
5.1,t1B3-b2739-sl4.0,GS_cluster_444570416_7059565461,755844281#0_0,13.0,3.05,no,N/A,ETA too high (13.0s)
5.1,t163-b2736-sl4.0,N/A,59712267#0_0,N/A,0.0,no,N/A,No TLS ahead
5.15,t1B3-b2739-sl4.0,GS_cluster_444570416_7059565461,755844281#0_0,12.84,3.08,no,N/A,ETA too high (12.8s)
5.15,t163-b2736-sl4.0,N/A,59712267#0_0,N/A,0.0,no,N/A,No TLS ahead
5.2,t1B3-b2739-sl4.0,GS_cluster_444570416_7059565461,755844281#0_0,12.66,3.11,no,N/A,ETA too high (12.7s)
5.2,t163-b2736-sl4.0,N/A,59712267#0_0,N/A,0.0,no,N/A,No TLS ahead
5.25,t1B3-b2739-sl4.0,GS_cluster_444570416_7059565461,755844281#0_0,12.47,3.14,no,N/A,ETA too high (12.5s)
5.25,t163-b2736-sl4.0,N/A,59712267#0_0,N/A,0.0,no,N/A,No TLS ahead
5.3,t1B3-b2739-sl4.0,GS_cluster_444570416_7059565461,755844281#0_0,12.31,3.17,no,N/A,ETA too high (12.3s)
5.3,t163-b2736-sl4.0,N/A,59712267#0_0,N/A,0.0,no,N/A,No TLS ahead
5.35,t1B3-b2739-sl4.0,GS_cluster_444570416_7059565461,755844281#0_0,12.1,3.22,no,N/A,ETA too high (12.1s)
5.35,t163-b2736-sl4.0,N/A,59712267#0_0,N/A,0.0,no,N/A,No TLS ahead
5.4,t1B3-b2739-sl4.0,GS_cluster_444570416_7059565461,755844281#0_0,11.94,3.25,no,N/A,ETA too high (11.9s)
5.4,t163-b2736-sl4.0,N/A,59712267#0_0,N/A,0.0,no,N/A,No TLS ahead
5.45,t1B3-b2739-sl4.0,GS_cluster_444570416_7059565461,755844281#0_0,11.76,3.28,no,N/A,ETA too high (11.8s)
5.45,t163-b2736-sl4.0,N/A,59712267#0_0,N/A,0.0,no,N/A,No TLS ahead
5.5,t1B3-b2739-sl4.0,GS_cluster_444570416_7059565461,755844281#0_0,11.58,3.32,no,N/A,ETA too high (11.6s)
5.5,t163-b2736-sl4.0,N/A,59712267#0_0,N/A,0.0,no,N/A,No TLS ahead
5.55,t1B3-b2739-sl4.0,GS_cluster_444570416_7059565461,755844281#0_0,11.4,3.35,no,N/A,ETA too high (11.4s)
5.55,t163-b2736-sl4.0,N/A,59712267#0_0,N/A,0.0,no,N/A,No TLS ahead
5.6,t1B3-b2739-sl4.0,GS_cluster_444570416_7059565461,755844281#0_0,11.23,3.39,no,N/A,ETA too high (11.2s)
5.6,t163-b2736-sl4.0,N/A,59712267#0_0,N/A,0.0,no,N/A,No TLS ahead
5.65,t1B3-b2739-sl4.0,GS_cluster_444570416_7059565461,755844281#0_0,11.07,3.42,no,N/A,ETA too high (11.1s)
5.65,t163-b2736-sl4.0,N/A,59712267#0_0,N/A,0.0,no,N/A,No TLS ahead
5.7,t1B3-b2739-sl4.0,GS_cluster_444570416_7059565461,755844281#0_0,10.91,3.46,no,N/A,ETA too high (10.9s)
5.7,t163-b2736-sl4.0,N/A,59712267#0_0,N/A,0.0,no,N/A,No TLS ahead
5.75,t1B3-b2739-sl4.0,GS_cluster_444570416_7059565461,755844281#0_0,10.75,3.49,no,N/A,ETA too high (10.7s)
5.75,t163-b2736-sl4.0,N/A,59712267#0_0,N/A,0.0,no,N/A,No TLS ahead
5.8,t1B3-b2739-sl4.0,GS_cluster_444570416_7059565461,755844281#0_0,10.6,3.53,no,N/A,ETA too high (10.6s)
5.8,t163-b2736-sl4.0,N/A,59712267#0_0,N/A,0.0,no,N/A,No TLS ahead
5.85,t1B3-b2739-sl4.0,GS_cluster_444570416_7059565461,755844281#0_0,10.4,3.58,no,N/A,ETA too high (10.4s)
5.85,t163-b2736-sl4.0,N/A,59712267#0_0,N/A,0.0,no,N/A,No TLS ahead
5.9,t1B3-b2739-sl4.0,GS_cluster_444570416_7059565461,755844281#0_0,10.28,3.6,no,N/A,ETA too high (10.3s)
5.9,t163-b2736-sl4.0,N/A,59712267#0_0,N/A,0.0,no,N/A,No TLS ahead
5.95,t1B3-b2739-sl4.0,GS_cluster_444570416_7059565461,755844281#0_0,10.11,3.64,no,N/A,ETA too high (10.1s)
5.95,t163-b2736-sl4.0,N/A,59712267#0_0,N/A,0.0,no,N/A,No TLS ahead
6.0,t1B3-b2739-sl4.0,GS_cluster_444570416_7059565461,755844281#0_0,9.97,3.68,no,N/A,ETA too high (10.0s)
6.0,t163-b2736-sl4.0,N/A,59712267#0_0,N/A,0.0,no,N/A,No TLS ahead
6.05,t1B3-b2739-sl4.0,GS_cluster_444570416_7059565461,755844281#0_0,9.81,3.72,no,N/A,ETA too high (9.8s)
6.05,t163-b2736-sl4.0,N/A,59712267#0_0,N/A,0.0,no,N/A,No TLS ahead
6.1,t1B3-b2739-sl4.0,GS_cluster_444570416_7059565461,755844281#0_0,9.66,3.75,no,N/A,ETA too high (9.7s)
6.1,t163-b2736-sl4.0,N/A,59712267#0_0,N/A,0.0,no,N/A,No TLS ahead
6.15,t1B3-b2739-sl4.0,GS_cluster_444570416_7059565461,755844281#0_0,9.52,3.79,no,N/A,ETA too high (9.5s)
6.15,t163-b2736-sl4.0,N/A,59712267#0_0,N/A,0.0,no,N/A,No TLS ahead
6.2,t1B3-b2739-sl4.0,GS_cluster_444570416_7059565461,755844281#0_0,9.4,3.82,no,N/A,ETA too high (9.4s)
6.2,t163-b2736-sl4.0,N/A,59712267#0_0,N/A,0.0,no,N/A,No TLS ahead
6.25,t1B3-b2739-sl4.0,GS_cluster_444570416_7059565461,755844281#0_0,9.28,3.85,no,N/A,ETA too high (9.3s)
6.25,t163-b2736-sl4.0,N/A,59712267#0_0,N/A,0.0,no,N/A,No TLS ahead
6.3,t1B3-b2739-sl4.0,GS_cluster_444570416_7059565461,755844281#0_0,9.15,3.88,no,N/A,ETA too high (9.1s)
6.3,t163-b2736-sl4.0,N/A,59712267#0_0,N/A,0.0,no,N/A,No TLS ahead
6.35,t1B3-b2739-sl4.0,GS_cluster_444570416_7059565461,755844281#0_0,8.99,3.93,no,N/A,ETA too high (9.0s)
6.35,t163-b2736-sl4.0,N/A,59712267#0_0,N/A,0.0,no,N/A,No TLS ahead
6.4,t1B3-b2739-sl4.0,GS_cluster_444570416_7059565461,755844281#0_0,8.87,3.96,no,N/A,ETA too high (8.9s)
6.4,t163-b2736-sl4.0,N/A,59712267#0_0,N/A,0.0,no,N/A,No TLS ahead
6.45,t1B3-b2739-sl4.0,GS_cluster_444570416_7059565461,755844281#0_0,8.76,3.99,no,N/A,ETA too high (8.8s)
6.45,t163-b2736-sl4.0,N/A,59712267#0_0,N/A,0.0,no,N/A,No TLS ahead
6.5,t1B3-b2739-sl4.0,GS_cluster_444570416_7059565461,755844281#0_0,8.62,4.03,no,N/A,ETA too high (8.6s)
6.5,t163-b2736-sl4.0,N/A,59712267#0_0,N/A,0.0,no,N/A,No TLS ahead
6.55,t1B3-b2739-sl4.0,GS_cluster_444570416_7059565461,755844281#0_0,8.47,4.07,no,N/A,ETA too high (8.5s)
6.55,t163-b2736-sl4.0,N/A,59712267#0_0,N/A,0.0,no,N/A,No TLS ahead
6.6,t1B3-b2739-sl4.0,GS_cluster_444570416_7059565461,755844281#0_0,8.35,4.11,no,N/A,ETA too high (8.4s)
6.6,t163-b2736-sl4.0,N/A,59712267#0_0,N/A,0.0,no,N/A,No TLS ahead
6.65,t1B3-b2739-sl4.0,GS_cluster_444570416_7059565461,755844281#0_0,8.23,4.15,no,N/A,ETA too high (8.2s)
6.65,t163-b2736-sl4.0,N/A,59712267#0_0,N/A,0.0,no,N/A,No TLS ahead
6.7,t1B3-b2739-sl4.0,GS_cluster_444570416_7059565461,755844281#0_0,8.09,4.19,no,N/A,ETA too high (8.1s)
6.7,t163-b2736-sl4.0,N/A,59712267#0_0,N/A,0.0,no,N/A,No TLS ahead
6.75,t1B3-b2739-sl4.0,GS_cluster_444570416_7059565461,755844281#0_0,7.95,4.24,no,N/A,ETA too high (8.0s)
6.75,t163-b2736-sl4.0,N/A,59712267#0_0,N/A,0.0,no,N/A,No TLS ahead
