sim_time,vehicle_id,vehicle_type,tls_id,lane_id,position_marker,actual_position,speed
50,19,DEFAULT_VEHTYPE,N/A,:6058277514_1_1,middle,4.8,21.471827050275174
50,21,DEFAULT_VEHTYPE,N/A,:cluster_123354748_8474141828_19_0,end,2.25,2.668620689844303
50,9,DEFAULT_VEHTYPE,N/A,:6732062151_4_0,middle,4.89,16.904891920523042
51,2,DEFAULT_VEHTYPE,N/A,13463892#17_0,middle,21.76,13.328589139122277
52,10,DEFAULT_VEHTYPE,N/A,:123155447_11_0,start,0.72,7.775841826190089
52,19,DEFAULT_VEHTYPE,N/A,406215666#0_1,end,10.63,25.079960849927744
52,24,DEFAULT_VEHTYPE,N/A,13387358#20_0,start,0.99,7.209674687939695
52,t1B3-b2739-sl4.0,bus,N/A,:7059565460_4_0,start,0.74,12.304606222780421
54,11,DEFAULT_VEHTYPE,N/A,405277520#0_0,middle,46.07,27.526804292383545
54,12,DEFAULT_VEHTYPE,N/A,:cluster_5599455846_6120556065_1_0,middle,7.23,15.223452152775375
54,17,DEFAULT_VEHTYPE,N/A,:5602407119_0_0,end,7.52,13.325270213447547
54,9,DEFAULT_VEHTYPE,N/A,59712270#3_0,end,36.68,16.547016016501257
54,t1B3-b2739-sl4.0,bus,N/A,:7059565444_0_0,start,0.81,13.268864366309717
55,16,DEFAULT_VEHTYPE,N/A,:1211029633_8_0,middle,4.03,5.043639609464407
55,24,DEFAULT_VEHTYPE,N/A,:6785690858_2_0,end,8.89,11.939842564516008
57,6,DEFAULT_VEHTYPE,N/A,13373063#8_0,end,27.69,12.00484389790167
59,19,DEFAULT_VEHTYPE,N/A,:6819271221_1_1,end,8.83,25.982387599412412
59,23,DEFAULT_VEHTYPE,N/A,-1257699425#1_0,start,0.88,7.498874842020372
60,0,DEFAULT_VEHTYPE,N/A,:6821987679_1_0,start,0.78,14.60661347362362
60,19,DEFAULT_VEHTYPE,N/A,:6819271218_1_1,start,0.03,25.10824410383875
60,2,DEFAULT_VEHTYPE,N/A,:123284065_12_0,end,10.29,7.372414852151484
60,5,DEFAULT_VEHTYPE,N/A,13323113#6_0,end,129.9,4.57407228203913
60,9,DEFAULT_VEHTYPE,N/A,:28947758_8_1,start,0.41,17.14107846293158
61,18,DEFAULT_VEHTYPE,N/A,-24672357#1_0,start,0.6,5.553945573454053
62,10,DEFAULT_VEHTYPE,N/A,406219019_0,end,87.62,8.63322974986737
62,24,DEFAULT_VEHTYPE,N/A,13387358#23_0,middle,7.0,12.21210611809162
62,4,DEFAULT_VEHTYPE,N/A,:123155447_7_0,end,18.32,7.32026742293965
63,10,DEFAULT_VEHTYPE,N/A,:28947755_8_0,end,4.05,4.13322974986737
63,20,DEFAULT_VEHTYPE,N/A,13434105#3_0,end,291.23,3.997083440644076
63,23,DEFAULT_VEHTYPE,N/A,:cluster_444570416_7059565461_6_0,start,0.39,1.394503557320268
63,6,DEFAULT_VEHTYPE,N/A,:123112458_13_0,start,0.71,22.63366081489811
64,10,DEFAULT_VEHTYPE,N/A,:28947755_11_0,middle,5.93,6.452830610851434
64,21,DEFAULT_VEHTYPE,N/A,:6433816885_6_0,middle,3.9,13.749350488595681
