sim_time,vehicle_id,tls_id,lane_id,eta,speed,priority_granted,phase_index,note
45.5,bus2,N/A,:268161362_0_0,N/A,20.1,no,N/A,No TLS ahead
45.55,bus1,N/A,406241587#8_1,N/A,27.76,no,N/A,No TLS ahead
45.55,bus2,N/A,:268161362_0_0,N/A,20.11,no,N/A,No TLS ahead
45.6,bus1,N/A,406241587#8_1,N/A,27.75,no,N/A,No TLS ahead
45.6,bus2,N/A,:268161362_0_0,N/A,20.11,no,N/A,No TLS ahead
45.65,bus1,N/A,406241587#8_1,N/A,27.77,no,N/A,No TLS ahead
45.65,bus2,N/A,:268161362_0_0,N/A,20.11,no,N/A,No TLS ahead
45.7,bus1,N/A,406241587#8_1,N/A,27.76,no,N/A,No TLS ahead
45.7,bus2,N/A,:268161362_0_0,N/A,20.12,no,N/A,No TLS ahead
45.75,bus1,N/A,406241587#8_1,N/A,27.77,no,N/A,No TLS ahead
45.75,bus2,N/A,405545578_0,N/A,20.1,no,N/A,No TLS ahead
45.8,bus1,N/A,406241587#8_1,N/A,27.76,no,N/A,No TLS ahead
45.8,bus2,N/A,405545578_0,N/A,20.12,no,N/A,No TLS ahead
45.85,bus1,N/A,406241587#8_1,N/A,27.76,no,N/A,No TLS ahead
45.85,bus2,N/A,405545578_0,N/A,20.1,no,N/A,No TLS ahead
45.9,bus1,N/A,406241587#8_1,N/A,27.76,no,N/A,No TLS ahead
45.9,bus2,N/A,405545578_0,N/A,20.12,no,N/A,No TLS ahead
45.95,bus1,N/A,:4083390209_0_1,N/A,27.76,no,N/A,No TLS ahead
45.95,bus2,N/A,405545578_0,N/A,20.1,no,N/A,No TLS ahead
46.0,bus1,N/A,:4083390209_0_1,N/A,27.77,no,N/A,No TLS ahead
46.0,bus2,N/A,405545578_0,N/A,20.12,no,N/A,No TLS ahead
46.05,bus1,N/A,:4083390209_0_1,N/A,27.75,no,N/A,No TLS ahead
46.05,bus2,N/A,405545578_0,N/A,20.11,no,N/A,No TLS ahead
46.1,bus1,N/A,:4083390209_0_1,N/A,27.75,no,N/A,No TLS ahead
46.1,bus2,N/A,405545578_0,N/A,20.1,no,N/A,No TLS ahead
46.15,bus1,N/A,:4083390209_0_1,N/A,27.77,no,N/A,No TLS ahead
46.15,bus2,N/A,405545578_0,N/A,20.11,no,N/A,No TLS ahead
46.2,bus1,N/A,406241598_1,N/A,27.77,no,N/A,No TLS ahead
46.2,bus2,N/A,405545578_0,N/A,20.11,no,N/A,No TLS ahead
46.25,bus1,N/A,406241598_1,N/A,27.77,no,N/A,No TLS ahead
46.25,bus2,N/A,405545578_0,N/A,20.09,no,N/A,No TLS ahead
46.3,bus1,N/A,406241598_1,N/A,27.78,no,N/A,No TLS ahead
46.3,bus2,N/A,405545578_0,N/A,20.1,no,N/A,No TLS ahead
46.35,bus1,N/A,406241598_1,N/A,27.78,no,N/A,No TLS ahead
46.35,bus2,N/A,405545578_0,N/A,20.12,no,N/A,No TLS ahead
46.4,bus1,N/A,406241598_1,N/A,27.78,no,N/A,No TLS ahead
46.4,bus2,N/A,405545578_0,N/A,20.09,no,N/A,No TLS ahead
46.45,bus1,N/A,406241598_1,N/A,27.77,no,N/A,No TLS ahead
46.45,bus2,N/A,405545578_0,N/A,20.12,no,N/A,No TLS ahead
